"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"att11";"att12";"att13";"att14";"att15";"att16";"att17";"att18";"att19";"att20";"att21";"att22";"att23";"att24";"att25";"att26";"att27";"att28";"att29";"att30";"att31";"att32";"att33";"att34";"att35";"att36";"att37";"att38";"label"
-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9793869221999121;0.08862550857951534;-0.23009877977919813;-0.16642450911204287;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.7332833060986397;0.23668848399080145;-0.2671808145370028;0.11453360454979444;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-0.9685097816484306;0.14717848929771793;-0.778088848977867;-0.1580389389347835;"1"
1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;-1.0;-0.995804086058078;-0.6500972934724925;-0.6053562939094607;-0.6083689650877995;"2"
-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.7850230908817971;0.13550327259862027;0.028471818710052332;-6.226908547469767E-4;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.9540383378967136;-0.13267291703520256;-0.5922032644868205;-0.4421520195940055;"1"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-0.6243438439246571;0.6410755351140986;0.383233849241984;0.6248080036531196;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-0.9217707715193486;-0.22218291172828586;-0.5544873487929851;-0.6336917265141766;"3"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-0.4960198124889439;-0.7902910569964609;-0.6336917265141766;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.13349275788715642;0.5409517070581993;0.27172362791189064;0.6600938187554486;"2"
-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.858166484653051;0.07978064744383517;-0.332047963657493;-0.14226410394786004;"1"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-0.7417306178999716;-0.04139395011498315;-0.22756325603507477;-0.3600398522147038;"2"
-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-0.9002041498645832;0.06138333628162029;-0.9162220696212562;-0.1949022375358047;"0"
-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;-0.6126970359723216;0.4510879179196887;-0.18234641593154088;0.377724272489518;"0"
